Date,Open,High,Low,Close,Adj Close,Volume,Direction,Day,Month,Year
21/11/2019,8527.870117,8530.730469,8487.290039,8506.209961,8506.209961,2056230000,-1,21,11,2019
22/11/2019,8530.540039,8535.459961,8477.490234,8519.879883,8519.879883,1877090000,1,22,11,2019
25/11/2019,8559.650391,8633.150391,8559.650391,8632.490234,8632.490234,2256070000,1,25,11,2019
26/11/2019,8635.400391,8659.730469,8625.620117,8647.929688,8647.929688,2434570000,1,26,11,2019
27/11/2019,8669.589844,8705.910156,8662.580078,8705.179688,8705.179688,1744580000,1,27,11,2019
29/11/2019,8682.009766,8697.320313,8664.040039,8665.469727,8665.469727,1099090000,-1,29,11,2019
02/12/2019,8672.839844,8672.839844,8540.160156,8567.990234,8567.990234,2225940000,-1,2,12,2019
03/12/2019,8460.719727,8523.980469,8435.400391,8520.639648,8520.639648,2308600000,-1,3,12,2019
04/12/2019,8557.450195,8584.879883,8552.379883,8566.669922,8566.669922,2150680000,1,4,12,2019
05/12/2019,8587.929688,8588.889648,8541.919922,8570.700195,8570.700195,2123380000,1,5,12,2019
06/12/2019,8634.25,8665.44043,8630.580078,8656.530273,8656.530273,2053530000,1,6,12,2019
09/12/2019,8650.860352,8678.849609,8619.769531,8621.830078,8621.830078,2088520000,-1,9,12,2019
10/12/2019,8623.55957,8650.759766,8600.820313,8616.179688,8616.179688,2053390000,-1,10,12,2019
11/12/2019,8631.120117,8658.480469,8622.360352,8654.049805,8654.049805,1937850000,1,11,12,2019
12/12/2019,8645.360352,8745.820313,8633.599609,8717.320313,8717.320313,2388270000,1,12,12,2019
13/12/2019,8713.910156,8768.870117,8697.580078,8734.879883,8734.879883,2188720000,1,13,12,2019
16/12/2019,8791.30957,8833.450195,8789.769531,8814.230469,8814.230469,2346290000,1,16,12,2019
17/12/2019,8829.469727,8831.990234,8804.599609,8823.360352,8823.360352,2374120000,1,17,12,2019
18/12/2019,8834.650391,8848.759766,8820.419922,8827.740234,8827.740234,2727870000,1,18,12,2019
19/12/2019,8838.969727,8888.129883,8838.969727,8887.219727,8887.219727,2415950000,1,19,12,2019
20/12/2019,8911.839844,8931.910156,8901.870117,8924.959961,8924.959961,3825460000,1,20,12,2019
23/12/2019,8950.200195,8956.639648,8934.549805,8945.650391,8945.650391,2025450000,1,23,12,2019
24/12/2019,8955.009766,8957.120117,8934.360352,8952.879883,8952.879883,1014520000,1,24,12,2019
26/12/2019,8970.209961,9022.459961,8968.459961,9022.389648,9022.389648,1634920000,1,26,12,2019
27/12/2019,9049.469727,9052,8987.320313,9006.620117,9006.620117,1832200000,-1,27,12,2019
30/12/2019,9004.450195,9006.360352,8909.19043,8945.990234,8945.990234,2042420000,-1,30,12,2019
31/12/2019,8918.740234,8975.360352,8912.769531,8972.599609,8972.599609,2182800000,1,31,12,2019
